The current server timezone is: Europe/Berlin, file created at: 01/04/2019 11:13:35 am
No. of visitors
128
----IP hash, ID, Start-time, %CPU, Memory(total, used, free, shared,buffers,cached), MPD-Status, MPD-End-time, End-time----
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1688434121, #3:01/25/2019 07:15:01 pm, #4:0.79, #5:7863868,5820112,232664,103872,1811092,1531124, #6:200 OK, #7:01/25/2019 07:15:01 pm, #8:01/25/2019 07:15:16 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1905884459, #3:01/25/2019 07:15:29 pm, #4:1.14, #5:7863868,5827676,231460,103872,1804732,1523628, #6:200 OK, #7:01/25/2019 07:15:30 pm, #8:01/25/2019 07:15:42 pm
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1283911029, #3:01/28/2019 10:04:12 am, #4:0.04, #5:7863868,4132872,1152268,86080,2578728,3241540, #6:200 OK, #7:01/28/2019 10:04:13 am, #8:01/28/2019 10:04:23 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id782992654, #3:01/28/2019 10:04:50 am, #4:0.59, #5:7863868,4323748,1050852,86076,2489268,3050672, #6:200 OK, #7:01/28/2019 10:04:51 am, #8:01/28/2019 10:05:01 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1108629661, #3:01/28/2019 10:05:35 am, #4:0.76, #5:7863868,4336848,1031868,86076,2495152,3037536, #6:200 OK, #7:01/28/2019 10:05:36 am, #8:01/28/2019 10:05:46 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1501693604, #3:01/28/2019 10:05:55 am, #4:1.2, #5:7863868,4347988,1014956,86076,2500924,3026400, #6:200 OK, #7:01/28/2019 10:05:56 am, #8:01/28/2019 10:06:05 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1916295166, #3:01/28/2019 10:06:20 am, #4:1.23, #5:7863868,4349512,1007632,86076,2506724,3024860, #6:200 OK, #7:01/28/2019 10:06:21 am, #8:01/28/2019 10:06:30 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id337447498, #3:01/28/2019 10:07:36 am, #4:0.69, #5:7863868,4358908,992560,86076,2512400,3015468, #6:200 OK, #7:01/28/2019 10:07:37 am, #8:01/28/2019 10:07:46 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id20536529, #3:01/28/2019 10:08:20 am, #4:0.89, #5:7863868,4365692,980008,86076,2518168,3008724, #6:200 OK, #7:01/28/2019 10:08:21 am, #8:01/28/2019 10:08:31 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id763519688, #3:01/28/2019 10:11:27 am, #4:0.24, #5:7863868,4484252,849220,89340,2530396,2887016, #6:200 OK, #7:01/28/2019 10:11:28 am, #8:01/28/2019 10:11:38 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id793695653, #3:01/28/2019 10:11:56 am, #4:0.48, #5:7863868,4483844,843864,89356,2536160,2887396, #6:200 OK, #7:01/28/2019 10:11:57 am, #8:01/28/2019 10:12:07 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id158548353, #3:01/28/2019 10:13:33 am, #4:0.26, #5:7863868,4494092,827720,89360,2542056,2877136, #6:200 OK, #7:01/28/2019 10:13:34 am, #8:01/28/2019 10:13:43 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1348928808, #3:01/28/2019 10:14:40 am, #4:0.61, #5:7863868,4503400,812616,89360,2547852,2867852, #6:200 OK, #7:01/28/2019 10:14:41 am, #8:01/28/2019 10:14:51 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1367706151, #3:01/28/2019 10:17:29 am, #4:0.33, #5:7863868,4576144,713136,106768,2574588,2777764, #6:200 OK, #7:01/28/2019 10:17:30 am, #8:01/28/2019 10:17:40 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id31711458, #3:01/28/2019 10:17:49 am, #4:0.61, #5:7863868,4580932,702476,106864,2580460,2772864, #6:200 OK, #7:01/28/2019 10:17:50 am, #8:01/28/2019 10:17:59 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id322745387, #3:01/28/2019 10:18:25 am, #4:0.77, #5:7863868,4571748,708064,104552,2584056,2784368, #6:200 OK, #7:01/28/2019 10:18:26 am, #8:01/28/2019 10:18:36 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id1833226889, #3:01/28/2019 10:20:09 am, #4:0.31, #5:7863868,4576016,697804,104552,2590048,2780092, #6:200 OK, #7:01/28/2019 10:20:10 am, #8:01/28/2019 10:20:19 am
#1:f528764d624db129b32c21fbca0cb8d6, #2:id55873413, #3:01/28/2019 10:20:39 am, #4:0.64, #5:7863868,4579144,688880,104552,2595844,2777008, #6:200 OK, #7:01/28/2019 10:20:40 am, #8:01/28/2019 10:20:49 am
